bbl,block,lot,bin,hnum_lo,hnum_hi,str_name,condo_no,coop_no
1008980051,898,51,1085807,210,210,EAST 18 STREET,N/A,N/A
1009240062,924,62,1020509,324,324,2 AVENUE,N/A,N/A
1009210036,921,36,1020405,249,257,1 AVENUE,N/A,N/A
1008770001,877,1,1080802,101,103,EAST 21 STREET,N/A,N/A
1008800089,880,89,1080811,100,100,EAST 25 STREET,N/A,N/A
1009210001,921,1,1020387,230,234,2 AVENUE,N/A,N/A
1008780069,878,69,1080808,112,112,EAST 23 STREET,N/A,N/A
1008720071,872,71,1017835,110,110,EAST 17 STREET,N/A,N/A
1009240022,924,22,1020481,335,335,EAST 18 STREET,N/A,N/A
1009240064,924,64,1020511,320,320,2 AVENUE,N/A,N/A
1008710052,871,52,1017808,136,136,EAST 16 STREET,N/A,N/A
1008820039,882,39,1018140,153,153,EAST 26 STREET,N/A,1061
1008980025,898,25,1019566,245,245,EAST 17 STREET,N/A,N/A
1009270013,927,13,1020546,319,321,EAST 21 STREET,N/A,N/A
1008820046,882,46,1018144,364,364,3 AVENUE,N/A,N/A
1009240013,924,13,1020473,317,319,EAST 18 STREET,N/A,1176
1008720078,872,78,1017839,100,102,EAST 17 STREET,N/A,N/A
1008970044,897,44,1019535,173,177,3 AVENUE,N/A,N/A
1008760014,876,14,1017952,5,5,GRAMERCY PARK WEST,N/A,N/A
1008750014,875,14,1017913,117,117,EAST 19 STREET,N/A,N/A
1008720050,872,50,1017824,136,142,EAST 17 STREET,N/A,N/A
1008970062,897,62,1019541,2,2,RUTHERFORD PLACE,N/A,N/A
1008960032,896,32,1019519,222,234,EAST 15 STREET,N/A,1114
1008740015,874,15,1017867,123,123,EAST 18 STREET,N/A,N/A
1009210013,921,13,1020396,321,321,EAST 14 STREET,N/A,N/A
1009240012,924,12,1020472,315,315,EAST 18 STREET,N/A,N/A
1008970040,897,40,1019532,,,EAST 15 STREET,N/A,N/A
1008980010,898,10,1019555,211,211,EAST 17 STREET,N/A,1121
1008830020,883,20,1018167,100,100,LEXINGTON AVENUE,N/A,N/A
1008710082,871,82,1017818,100,102,EAST 16 STREET,N/A,N/A
1008770060,877,60,1018006,134,142,EAST 22 STREET,N/A,N/A
1008730014,873,14,1017841,119,119,EAST 17 STREET,N/A,N/A
1008760026,876,26,1017956,146,150,EAST 21 STREET,N/A,1046
1008980023,898,23,1019564,241,241,EAST 17 STREET,N/A,N/A
1008740033,874,33,1078736,151,151,EAST 18 STREET,N/A,1029
1009030035,903,35,1019655,395,397,2 AVENUE,N/A,N/A
1008710012,871,12,1017791,113,115,EAST 15 STREET,N/A,N/A
1008830001,883,1,1018162,101,113,EAST 27 STREET,N/A,N/A
1009260001,926,1,1081671,344,360,2 AVENUE,N/A,N/A
1008810039,881,39,1018108,157,157,EAST 25 STREET,N/A,N/A
1008970001,897,1,1019523,147,155,3 AVENUE,N/A,1116
1009030047,903,47,1088660,220,224,EAST 23 STREET,N/A,N/A
1008830023,883,23,1018170,106,106,LEXINGTON AVENUE,N/A,N/A
1008760032,876,32,1017960,252,252,3 AVENUE,N/A,N/A
1008750073,875,73,1017940,114,114,EAST 20 STREET,N/A,1042
1009030036,903,36,1019656,246,246,EAST 23 STREET,N/A,N/A
1008760001,876,1,1017946,101,101,EAST 20 STREET,N/A,N/A
1008830074,883,74,1018198,116,116,LEXINGTON AVENUE,N/A,N/A
1008810047,881,47,1018115,354,354,3 AVENUE,N/A,1060
1009280026,928,26,1078820,337,337,EAST 22 STREET,N/A,N/A
1008730020,873,20,1017845,54,54,IRVING PLACE,N/A,N/A
1009250040,925,40,1020527,341,341,1 AVENUE,N/A,N/A
1009020042,902,42,1019645,228,228,EAST 22 STREET,N/A,N/A
1009010026,901,26,1088555,345,345,2 AVENUE,N/A,N/A
1009240026,924,26,1020485,343,343,EAST 18 STREET,N/A,N/A
1008770048,877,48,1018000,274,274,3 AVENUE,N/A,N/A
1008710055,871,55,1017811,130,130,EAST 16 STREET,N/A,N/A
1009280040,928,40,1020580,318,318,EAST 23 STREET,N/A,N/A
1008767503,876,7503,1017954,36,36,GRAMERCY PARK EAST,2209,N/A
1008770053,877,53,1018003,152,156,EAST 22 STREET,N/A,N/A
1008960039,896,39,1019521,208,218,EAST 15 STREET,N/A,1115
1008800003,880,3,1018066,327,327,PARK AVENUE SOUTH,N/A,N/A
1008770013,877,13,1087279,,,EAST 21 STREET,N/A,4057
1008730015,873,15,1078732,,,EAST 17 STREET,N/A,N/A
1008820017,882,17,1018129,125,125,EAST 26 STREET,N/A,N/A
1008790009,879,9,1018034,115,117,EAST 23 STREET,N/A,N/A
1009240060,924,60,1020508,310,312,EAST 19 STREET,N/A,N/A
1009240025,924,25,1020484,341,341,EAST 18 STREET,N/A,N/A
1008730034,873,34,1017854,190,190,3 AVENUE,N/A,N/A
1008830046,883,46,1018179,380,380,3 AVENUE,N/A,N/A
1009230016,923,16,1020432,323,323,EAST 17 STREET,N/A,N/A
1009240050,924,50,1020501,328,330,EAST 19 STREET,N/A,N/A
1008960038,896,38,1019520,220,220,EAST 15 STREET,N/A,N/A
1008990024,899,24,1019587,311,313,2 AVENUE,N/A,N/A
1009020020,902,20,1019641,229,231,EAST 21 STREET,N/A,N/A
1008740063,874,63,1017898,72 1/2,72 1/2,IRVING PLACE,N/A,N/A
1009270001,927,1,1020543,362,374,2 AVENUE,N/A,N/A
1009210064,921,64,1020416,,,MN COMPREHENSIVE NIGHT & DAY HS,N/A,N/A
1008980024,898,24,1019565,243,243,EAST 17 STREET,N/A,N/A
1008990023,899,23,1019586,241,241,EAST 18 STREET,N/A,N/A
1009270029,927,29,1078817,371,371,1 AVENUE,N/A,N/A
1008810045,881,45,1018114,350,352,3 AVENUE,N/A,N/A
1009040039,904,39,1019779,222,222,EAST 24 STREET,N/A,1137
1009010006,901,6,1019613,,,13 PRECINCT,N/A,N/A
1008980038,898,38,1019568,234,234,EAST 18 STREET,N/A,N/A
1008750040,875,40,1017927,226,228,3 AVENUE,N/A,N/A
1008780001,878,1,1018010,101,109,EAST 22 STREET,N/A,N/A
1009230047,923,47,1020446,332,334,EAST 18 STREET,N/A,N/A
1009240045,924,45,1020497,340,340,EAST 19 STREET,N/A,N/A
1009220027,922,27,1082157,279,279,1 AVENUE,N/A,N/A
1009270022,927,22,1020550,337,337,EAST 21 STREET,N/A,N/A
1009020031,902,31,1082128,373,379,2 AVENUE,N/A,N/A
1008720069,872,69,1017834,112,114,EAST 17 STREET,N/A,N/A
1009240063,924,63,1020510,322,322,2 AVENUE,N/A,N/A
1009010034,901,34,1019620,359,361,2 AVENUE,N/A,N/A
1009020051,902,51,1019648,206,212,EAST 22 STREET,N/A,N/A
1008720035,872,35,1017822,166,182,3 AVENUE,N/A,N/A
1008710047,871,47,1017805,162,162,3 AVENUE,N/A,N/A
1008760030,876,30,1017958,256,256,3 AVENUE,N/A,N/A
1008740065,874,65,1017899,122,122,EAST 19 STREET,N/A,N/A
1008970065,897,65,1019544,220,220,EAST 17 STREET,N/A,3612
1009230035,923,35,1020439,305,305,1 AVENUE,N/A,N/A
1009250027,925,27,1020517,347,347,EAST 19 STREET,N/A,N/A
1008790054,879,54,1018055,144,146,EAST 24 STREET,N/A,N/A
1008740071,874,71,1017904,108,110,EAST 19 STREET,N/A,N/A
1008800082,880,82,1018087,114,116,EAST 25 STREET,N/A,N/A
1008750061,875,61,1078739,86,86,IRVING PLACE,N/A,N/A
1008750003,875,3,1017907,239,243,PARK AVENUE SOUTH,N/A,N/A
1009010030,901,30,1019619,353,357,2 AVENUE,N/A,N/A
1008967501,896,7501,1019517,242,242,EAST 15 STREET,1788,N/A
1009230038,923,38,1020442,311,311,1 AVENUE,N/A,N/A
1008960015,896,15,1019508,231,231,EAST 14 STREET,N/A,N/A
1009220002,922,2,1020418,325,329,EAST 15 STREET,N/A,N/A
1009280020,928,20,1020573,335,335,EAST 22 STREET,N/A,N/A
1008710044,871,44,1017804,156,160,3 AVENUE,N/A,1022
1008960019,896,19,1019511,239,239,EAST 14 STREET,N/A,N/A
1008980042,898,42,1019570,226,226,EAST 18 STREET,N/A,1124
1008790026,879,26,1018043,141,141,EAST 23 STREET,N/A,N/A
1009240011,924,11,1020471,313,313,EAST 18 STREET,N/A,N/A
1009270034,927,34,1020560,338,338,EAST 22 STREET,N/A,N/A
1009030039,903,39,1019658,240,240,EAST 23 STREET,N/A,N/A
1009010058,901,58,1082126,253,253,3 AVENUE,N/A,N/A
1009230052,923,52,1020451,322,322,EAST 18 STREET,N/A,N/A
1009040013,904,13,1019774,221,221,EAST 23 STREET,N/A,N/A
1009240017,924,17,1020476,325,325,EAST 18 STREET,N/A,N/A
1009270033,927,33,1020559,340,340,EAST 22 STREET,N/A,N/A
1008990032,899,32,1019591,323,327,2 AVENUE,N/A,1131
1008970016,897,16,1082120,218,226,EAST 16 STREET,N/A,N/A
1009220020,922,20,1020421,261,261,1 AVENUE,N/A,N/A
1008710028,871,28,1017798,129,129,EAST 15 STREET,N/A,N/A
1008720057,872,57,1017828,121,143,EAST 16 STREET,N/A,N/A
1008747502,874,7502,1085463,117,117,EAST 18 STREET,973,N/A
1008800073,880,73,1018084,126,128,EAST 25 STREET,N/A,N/A
1009250042,925,42,1020529,346,350,EAST 20 STREET,N/A,N/A
1008820074,882,74,1018155,124,124,EAST 27 STREET,N/A,N/A
1009210041,921,41,1020408,342,344,EAST 15 STREET,N/A,N/A
1008710068,871,68,1017814,118,120,EAST 16 STREET,N/A,N/A
1009210016,921,16,1020399,327,327,EAST 14 STREET,N/A,N/A
1009040029,904,29,1078777,240,240,EAST 24 STREET,N/A,1136
1008747505,874,7505,1078740,124,124,EAST 19 STREET,2733,N/A
1008790052,879,52,1088467,150,150,EAST 24 STREET,N/A,N/A
1008990040,899,40,1019596,222,232,EAST 19 STREET,N/A,N/A
1008710031,871,31,1017801,135,135,EAST 15 STREET,N/A,N/A
1008830014,883,14,1090208,121,121,EAST 27 STREET,N/A,N/A
1008750034,875,34,1017922,139,139,EAST 19 STREET,N/A,N/A
1008980052,898,52,1019579,206,206,EAST 18 STREET,N/A,1126
1008760029,876,29,1017957,258,258,3 AVENUE,N/A,N/A
1008750074,875,74,1017941,112,112,EAST 20 STREET,N/A,N/A
1009020013,902,13,1019637,215,215,EAST 21 STREET,N/A,N/A
1008960026,896,26,1019516,239,239,2 AVENUE,N/A,N/A
1009037503,903,7503,1019759,295,295,3 AVENUE,321,N/A
1008750019,875,19,1017914,123,123,EAST 19 STREET,N/A,1035
1008740021,874,21,1017872,68,70,IRVING PLACE,N/A,N/A
1008820035,882,35,1018137,145,145,EAST 26 STREET,N/A,N/A
1009240038,924,38,1020492,354,354,EAST 19 STREET,N/A,N/A
1009220025,922,25,1020426,275,275,1 AVENUE,N/A,N/A
1008750029,875,29,1017919,131,131,EAST 19 STREET,N/A,1037
1008980050,898,50,1019578,208,208,EAST 18 STREET,N/A,N/A
1009240008,924,8,1020468,307,307,EAST 18 STREET,N/A,N/A
1009010002,901,2,1019612,247,251,3 AVENUE,N/A,N/A
1009230056,923,56,1020455,314,314,EAST 18 STREET,N/A,N/A
1008790030,879,30,1018045,149,153,EAST 23 STREET,N/A,N/A
1008740058,874,58,1017896,126,126,EAST 19 STREET,N/A,N/A
1009010048,901,48,1019626,214,220,EAST 21 STREET,N/A,N/A
1008730025,873,25,1017847,129,129,EAST 17 STREET,N/A,N/A
1009230036,923,36,1020440,307,307,1 AVENUE,N/A,N/A
1008830045,883,45,1018178,378,378,3 AVENUE,N/A,N/A
1009287503,928,7503,1020579,334,338,EAST 23 STREET,1815,N/A
1008970032,897,32,1019530,206,206,EAST 16 STREET,N/A,N/A
1008750069,875,69,1017938,120,120,EAST 20 STREET,N/A,N/A
1009240020,924,20,1020479,331,331,EAST 18 STREET,N/A,N/A
1008780028,878,28,1018016,145,149,EAST 22 STREET,N/A,N/A
1008747504,874,7504,1088759,220,222,3 AVENUE,2252,N/A
1008770022,877,22,1017991,123,125,EAST 21 STREET,N/A,1048
1009210048,921,48,1020412,330,330,EAST 15 STREET,N/A,N/A
1008970068,897,68,1019547,214,214,EAST 17 STREET,N/A,N/A
1009240006,924,6,1020466,303,303,EAST 18 STREET,N/A,N/A
1008820015,882,15,1018127,121,121,EAST 26 STREET,N/A,N/A
1008960048,896,48,1019522,135,145,3 AVENUE,N/A,N/A
1008820013,882,13,1018125,117,117,EAST 26 STREET,N/A,N/A
1009220023,922,23,1020424,271,271,1 AVENUE,N/A,N/A
1009290001,929,1,1078824,399,401,1 AVENUE,N/A,1181
1009240027,924,27,1020486,345,345,EAST 18 STREET,N/A,N/A
1008747505,874,7505,1078741,78,78,IRVING PLACE,2733,N/A
1009240005,924,5,1020465,318,318,2 AVENUE,N/A,1175
1008990039,899,39,1019595,234,234,EAST 19 STREET,N/A,N/A
1009250028,925,28,1020518,349,349,EAST 19 STREET,N/A,N/A
1008800042,880,42,1018079,322,334,3 AVENUE,N/A,1059
1009230019,923,19,1020435,329,329,EAST 17 STREET,N/A,N/A
1009210008,921,8,1020391,311,311,EAST 14 STREET,N/A,N/A
1009290001,929,1,1084709,400,416,2 AVENUE,N/A,1181
1009010038,901,38,1019623,240,242,EAST 21 STREET,N/A,N/A
1009020015,902,15,1019638,219,221,EAST 21 STREET,N/A,N/A
1009240028,924,28,1020487,347,349,EAST 18 STREET,N/A,N/A
1008980049,898,49,1019577,212,212,EAST 18 STREET,N/A,N/A
1009267501,926,7501,1020542,357,359,1 AVENUE,2358,N/A
1008970029,897,29,1019528,212,212,EAST 16 STREET,N/A,N/A
1008980013,898,13,1019557,217,217,EAST 17 STREET,N/A,N/A
1008770034,877,34,1017995,143,143,EAST 21 STREET,N/A,N/A
1008730022,873,22,1017846,123,125,EAST 17 STREET,N/A,N/A
1009220021,922,21,1020422,263,263,1 AVENUE,N/A,N/A
1009010029,901,29,1019618,351,351,2 AVENUE,N/A,N/A
1008960014,896,14,1019507,229,229,EAST 14 STREET,N/A,1113
1009280015,928,15,1020571,325,327,EAST 22 STREET,N/A,N/A
1008990008,899,8,1019581,211,231,EAST 18 STREET,N/A,1128
1009030013,903,13,1019651,217,221,EAST 22 STREET,N/A,N/A
1009010058,901,58,1019630,261,261,3 AVENUE,N/A,N/A
1009240034,924,34,1078809,356,356,EAST 19 STREET,N/A,N/A
1008830048,883,48,1018181,384,384,3 AVENUE,N/A,N/A
1008790044,879,44,1018053,318,318,3 AVENUE,N/A,N/A
1008710026,871,26,1017796,125,125,EAST 15 STREET,N/A,N/A
1009040005,904,5,1019769,205,207,EAST 23 STREET,N/A,N/A
1008960030,896,30,1069343,236,236,EAST 15 STREET,N/A,N/A
1009020030,902,30,1019644,371,371,2 AVENUE,N/A,N/A
1008820073,882,73,1018154,126,126,EAST 27 STREET,N/A,N/A
1009040029,904,29,1078779,415,415,2 AVENUE,N/A,1136
1009270018,927,18,1020549,329,333,EAST 21 STREET,N/A,N/A
1008770044,877,44,1017998,266,270,3 AVENUE,N/A,N/A
1008827503,882,7503,1018131,129,133,EAST 26 STREET,2683,N/A
1008740050,874,50,1017890,140,140,EAST 19 STREET,N/A,N/A
1008750075,875,75,1017942,110,110,EAST 20 STREET,N/A,N/A
1009240019,924,19,1020478,329,329,EAST 18 STREET,N/A,N/A
1008740030,874,30,1017878,143,143,EAST 18 STREET,N/A,N/A
1008960006,896,6,1019499,203,203,EAST 14 STREET,N/A,N/A
1009250024,925,24,1020515,341,343,EAST 19 STREET,N/A,N/A
1008830028,883,28,1018174,133,135,EAST 27 STREET,N/A,N/A
1009030046,903,46,1019661,226,232,EAST 23 STREET,N/A,N/A
1008780034,878,34,1018018,155,155,EAST 22 STREET,N/A,N/A
1009240010,924,10,1020470,311,311,EAST 18 STREET,N/A,N/A
1009020022,902,22,1019642,233,235,EAST 21 STREET,N/A,N/A
1009240047,924,47,1020499,336,336,EAST 19 STREET,N/A,N/A
1008720066,872,66,1017831,120,120,EAST 17 STREET,N/A,N/A
1008750033,875,33,1017921,137,137,EAST 19 STREET,N/A,N/A
1009030060,903,60,1019667,293,293,3 AVENUE,N/A,N/A
1008770030,877,30,1017994,135,141,EAST 21 STREET,N/A,1051
1008820052,882,52,1018148,,,BROADWAY ALLEY,N/A,1063
1008740004,874,4,1017862,100,100,EAST 19 STREET,N/A,N/A
1008750058,875,58,1017933,132,132,EAST 20 STREET,N/A,N/A
1008750077,875,77,1017944,106,106,EAST 20 STREET,N/A,N/A
1009230031,923,31,1020438,297,303,1 AVENUE,N/A,N/A
1008770018,877,18,1017990,,,EAST 21 STREET,N/A,N/A
1009210007,921,7,1020390,309,309,EAST 14 STREET,N/A,N/A
1009240040,924,40,1020494,350,350,EAST 19 STREET,N/A,N/A
1008810024,881,24,1018104,67,69,LEXINGTON AVENUE,N/A,N/A
1008830077,883,77,1018201,126,126,EAST 28 STREET,N/A,N/A
1009020055,902,55,1019649,281,281,3 AVENUE,N/A,N/A
1008740023,874,23,1080801,131,131,EAST 18 STREET,N/A,N/A
1009280024,928,24,1020575,377,377,1 AVENUE,N/A,N/A
1008770042,877,42,1017997,260,264,3 AVENUE,N/A,1053
1009030001,903,1,1082131,285,285,3 AVENUE,N/A,N/A
1009220024,922,24,1020425,273,273,1 AVENUE,N/A,N/A
1008740049,874,49,1017889,142,142,EAST 19 STREET,N/A,N/A
1009230022,923,22,1081663,335,335,EAST 17 STREET,N/A,N/A
1009230037,923,37,1020441,309,309,1 AVENUE,N/A,N/A
1008990027,899,27,1019589,317,319,2 AVENUE,N/A,N/A
1008767501,876,7501,1017964,103,103,EAST 20 STREET,286,N/A
1008980043,898,43,1019571,224,224,EAST 18 STREET,N/A,1125
1008720001,872,1,1017819,101,103,EAST 16 STREET,N/A,N/A
1008750036,875,36,1017924,143,143,EAST 19 STREET,N/A,N/A
1008740042,874,42,1017884,216,216,3 AVENUE,N/A,N/A
1008750028,875,28,1017918,129,129,EAST 19 STREET,N/A,N/A
1008990019,899,19,1019582,233,233,EAST 18 STREET,N/A,N/A
1009240003,924,3,1020463,314,314,2 AVENUE,N/A,N/A
1008980047,898,47,1019575,216,216,EAST 18 STREET,N/A,N/A
1008740066,874,66,1017900,120,120,EAST 19 STREET,N/A,N/A
1008760010,876,10,1017948,102,102,EAST 21 STREET,N/A,1044
1008740041,874,41,1017883,214,214,3 AVENUE,N/A,N/A
1008827501,882,7501,1018158,114,114,EAST 27 STREET,2426,N/A
1008990029,899,29,1019590,321,321,2 AVENUE,N/A,1130
1008820014,882,14,1018126,119,119,EAST 26 STREET,N/A,N/A
1008830025,883,25,1076152,105,107,LEXINGTON AVENUE,N/A,N/A
1008970028,897,28,1019527,214,214,EAST 16 STREET,N/A,N/A
1009270036,927,36,1020562,334,334,EAST 22 STREET,N/A,N/A
1009240034,924,34,1081630,323,323,1 AVENUE,N/A,N/A
1008720074,872,74,1017838,104,104,EAST 17 STREET,N/A,N/A
1008757501,875,7501,1017923,141,141,EAST 19 STREET,1560,N/A
1009250033,925,33,1077009,359,359,EAST 19 STREET,N/A,N/A
1008740023,874,23,1080800,127,129,EAST 18 STREET,N/A,N/A
1008807501,880,7501,1018090,117,119,EAST 24 STREET,245,N/A
1008800016,880,16,1018070,125,127,EAST 24 STREET,N/A,N/A
1008770056,877,56,1018004,150,150,EAST 22 STREET,N/A,N/A
1008800050,880,50,1018080,336,338,3 AVENUE,N/A,N/A
1009270029,927,29,1078814,369,369,1 AVENUE,N/A,N/A
1008990020,899,20,1019583,235,235,EAST 18 STREET,N/A,N/A
1008727501,872,7501,1017820,105,107,EAST 16 STREET,2539,N/A
1008740067,874,67,1017901,118,118,EAST 19 STREET,N/A,N/A
1009270015,927,15,1077014,323 REAR,323 REAR,EAST 21 STREET,N/A,1178
1009230060,923,60,1020459,306,306,EAST 18 STREET,N/A,N/A
1009250045,925,45,1020530,344,344,EAST 20 STREET,N/A,N/A
1009250048,925,48,1020533,338,338,EAST 20 STREET,N/A,N/A
1009250047,925,47,1020532,340,340,EAST 20 STREET,N/A,N/A
1008990046,899,46,1088779,220,220,EAST 19 STREET,N/A,N/A
1008810041,881,41,1018110,342,348,3 AVENUE,N/A,N/A
1009230061,923,61,1020460,304,304,EAST 18 STREET,N/A,N/A
1009010058,901,58,1019632,257,257,3 AVENUE,N/A,N/A
1008730015,873,15,1082518,121,121,EAST 17 STREET,N/A,N/A
1008750079,875,79,1017945,100,104,EAST 20 STREET,N/A,N/A
1008710027,871,27,1017797,127,127,EAST 15 STREET,N/A,N/A
1008790027,879,27,1018044,143,147,EAST 23 STREET,N/A,N/A
1008830056,883,56,1018188,148,150,EAST 28 STREET,N/A,N/A
1009030053,903,53,1019663,210,210,EAST 23 STREET,N/A,N/A
1008770009,877,9,1017989,105,109,EAST 21 STREET,N/A,1047
1008820029,882,29,1018133,83,83,LEXINGTON AVENUE,N/A,N/A
1008980016,898,16,1019560,223,225,EAST 17 STREET,N/A,N/A
1008710032,871,32,1017802,137,137,EAST 15 STREET,N/A,1020
1008730067,873,67,1017860,100,106,EAST 18 STREET,N/A,N/A
1009010035,901,35,1019621,248,248,EAST 21 STREET,N/A,N/A
1009210010,921,10,1020393,315,315,EAST 14 STREET,N/A,N/A
1008830027,883,27,1018173,101,101,LEXINGTON AVENUE,N/A,N/A
1008750012,875,12,1017911,113,113,EAST 19 STREET,N/A,N/A
1009210012,921,12,1020395,319,319,EAST 14 STREET,N/A,N/A
1009240054,924,54,1020503,322,322,EAST 19 STREET,N/A,N/A
1008730004,873,4,1017840,213,213,PARK AVENUE SOUTH,N/A,N/A
1009230049,923,49,1020448,328,328,EAST 18 STREET,N/A,N/A
1009250041,925,41,1020528,343,343,1 AVENUE,N/A,N/A
1008740013,874,13,1017865,119,119,EAST 18 STREET,N/A,N/A
1009010052,901,52,1019627,210,212,EAST 21 STREET,N/A,1132
1008770057,877,57,1018005,144,148,EAST 22 STREET,N/A,N/A
1008830076,883,76,1018200,128,128,EAST 28 STREET,N/A,N/A
1008980048,898,48,1019576,214,214,EAST 18 STREET,N/A,N/A
1009230021,923,21,1020437,333,333,EAST 17 STREET,N/A,N/A
1008830033,883,33,1018176,143,143,EAST 27 STREET,N/A,N/A
1008970016,897,16,1082122,221,221,EAST 15 STREET,N/A,N/A
1008780035,878,35,1018019,282,282,3 AVENUE,N/A,N/A
1008787501,878,7501,1018031,132,132,EAST 23 STREET,2633,N/A
1008710001,871,1,1017788,101,103,EAST 15 STREET,N/A,N/A
1008710025,871,25,1017795,123,123,EAST 15 STREET,N/A,N/A
1008970041,897,41,1019533,167,169,3 AVENUE,N/A,N/A
1009040007,904,7,1019770,209,213,EAST 23 STREET,N/A,N/A
1008970012,897,12,1019526,215,215,EAST 15 STREET,N/A,N/A
1009280009,928,9,1020570,313,323,EAST 22 STREET,N/A,N/A
1008830011,883,11,1018163,115,117,EAST 27 STREET,N/A,N/A
1008790001,879,1,1018033,101,113,EAST 23 STREET,N/A,N/A
1008830063,883,63,1018190,136,136,EAST 28 STREET,N/A,N/A
1008970064,897,64,1019543,222,222,EAST 17 STREET,N/A,3612
1009040029,904,29,1078776,411,411,2 AVENUE,N/A,1136
1009250060,925,60,1020537,304,308,EAST 20 STREET,N/A,N/A
1009290050,929,50,1020598,310,310,EAST 24 STREET,N/A,N/A
1008810006,881,6,1018103,103,125,EAST 25 STREET,N/A,N/A
1008740001,874,1,1017861,,,BARUCH COLL EARLY LEARNING CTR,N/A,N/A
1009010036,901,36,1019622,244,246,EAST 21 STREET,N/A,N/A
1009240046,924,46,1020498,338,338,EAST 19 STREET,N/A,N/A
1008980007,898,7,1019552,205,205,EAST 17 STREET,N/A,N/A
1008750001,875,1,1017906,101,103,EAST 19 STREET,N/A,N/A
1008720064,872,64,1017829,47,47,IRVING PLACE,N/A,N/A
1009277502,927,7502,1020565,316,318,EAST 22 STREET,2141,N/A
1008790023,879,23,1018041,135,137,EAST 23 STREET,N/A,N/A
1008820016,882,16,1018128,123,123,EAST 26 STREET,N/A,N/A
1008820089,882,89,1018161,377,377,PARK AVENUE SOUTH,N/A,N/A
1008970067,897,67,1019546,216,216,EAST 17 STREET,N/A,N/A
1008740025,874,25,1017873,133,133,EAST 18 STREET,N/A,N/A
1009240001,924,1,1020461,310,310,2 AVENUE,N/A,N/A
1009000059,900,59,1019609,237,237,3 AVENUE,N/A,N/A
1009230018,923,18,1087888,327,327,EAST 17 STREET,N/A,N/A
1009210004,921,4,1020388,236,236,2 AVENUE,N/A,N/A
1008720073,872,73,1017837,106,106,EAST 17 STREET,N/A,N/A
1009030001,903,1,1082132,203,203,EAST 22 STREET,N/A,N/A
1009270035,927,35,1020561,336,336,EAST 22 STREET,N/A,N/A
1009240130,924,130,1020512,351,351,EAST 18 STREET,N/A,N/A
1009000009,900,9,1082123,209,225,EAST 19 STREET,N/A,N/A
1008730020,873,20,1017844,56,56,IRVING PLACE,N/A,N/A
1009270032,927,32,1020558,375,375,1 AVENUE,N/A,N/A
1009270023,927,23,1020551,339,339,EAST 21 STREET,N/A,N/A
1008970016,897,16,1082121,15,15,RUTHERFORD PLACE,N/A,N/A
1009040031,904,31,1019776,238,238,EAST 24 STREET,N/A,N/A
1009230053,923,53,1020452,320,320,EAST 18 STREET,N/A,N/A
1009000055,900,55,1019606,204,204,EAST 20 STREET,N/A,N/A
1008710053,871,53,1017809,134,134,EAST 16 STREET,N/A,1023
1008830052,883,52,1018185,158,164,EAST 28 STREET,N/A,N/A
1009250029,925,29,1020519,351,351,EAST 19 STREET,N/A,N/A
1009270027,927,27,1020555,365,365,1 AVENUE,N/A,N/A
1008820085,882,85,1018159,100,112,EAST 27 STREET,N/A,N/A
1008730031,873,31,1017851,141,141,EAST 17 STREET,N/A,N/A
1009287502,928,7502,1076164,304,310,EAST 23 STREET,580,N/A
1009210018,921,18,1020401,331,331,EAST 14 STREET,N/A,N/A
1009030057,903,57,1082133,299,299,3 AVENUE,N/A,N/A
1009020049,902,49,1019647,214,224,EAST 22 STREET,N/A,N/A
1008960011,896,11,1019504,223,223,EAST 14 STREET,N/A,N/A
1008830083,883,83,1018202,114,116,EAST 28 STREET,N/A,N/A
1008800089,880,89,1080812,102,102,EAST 25 STREET,N/A,N/A
1008820050,882,50,1018147,,,BROADWAY ALLEY,N/A,1062
1009250034,925,34,1020522,329,331,1 AVENUE,N/A,N/A
1008980045,898,45,1019573,220,220,EAST 18 STREET,N/A,N/A
1008770084,877,84,1018008,102,110,EAST 22 STREET,N/A,1057
1008820043,882,43,1018141,358,358,3 AVENUE,N/A,N/A
1009230001,923,1,1020429,302,308,2 AVENUE,N/A,N/A
1008720065,872,65,1017830,122,122,EAST 17 STREET,N/A,N/A
1009280026,928,26,1078819,381,381,1 AVENUE,N/A,N/A
1008757503,875,7503,1017936,124,124,EAST 20 STREET,2381,N/A
1009230050,923,50,1020449,326,326,EAST 18 STREET,N/A,N/A
1008790014,879,14,1087751,125,125,EAST 23 STREET,N/A,N/A
1008820001,882,1,1018122,101,101,EAST 26 STREET,N/A,N/A
1009020043,902,43,1019646,226,226,EAST 22 STREET,N/A,N/A
1009220070,922,70,1020428,289,295,1 AVENUE,N/A,N/A
1009240033,924,33,1020491,319,319,1 AVENUE,N/A,N/A
1008790081,879,81,1018063,100,114,EAST 24 STREET,N/A,N/A
1008800014,880,14,1018069,121,123,EAST 24 STREET,N/A,N/A
1008797503,879,7503,1088836,148,148,EAST 24 STREET,2247,N/A
1008750037,875,37,1017925,145,145,EAST 19 STREET,N/A,N/A
1008777501,877,7501,1089666,276,276,3 AVENUE,2447,N/A
1008807503,880,7503,1089380,323,323,PARK AVENUE SOUTH,2406,N/A
1009240034,924,34,1090008,321 REAR,321 REAR,1 AVENUE,N/A,N/A
1009270037,927,37,1020563,332,332,EAST 22 STREET,N/A,N/A
